x_base,y_base,x_length,y_length,color
420,421.5,0.950532007,0.310626631,0.760979183
240,238.5,0.980879303,0.19461704,0.82610981
420,661.5,0.705781083,0.708429999,0.759798921
480,358.5,0.871491668,-0.490410311,0.739831997
420,118.5,0.722205426,0.691678626,0.711524903
300,358.5,-0.238934105,0.971035784,0.458197653
180,178.5,-0.292213545,0.956353096,0.24041712
600,178.5,0.658856721,-0.75226845,0.144504288
360,601.5,-0.357104469,0.934064451,0.664819606
180,238.5,-0.98916885,-0.146782107,0.360317602
180,118.5,0.022093385,-0.999755911,0.119423451
540,358.5,0.087254435,-0.996186059,0.251684469
120,178.5,-0.964732104,-0.263233676,0.203757277
60,358.5,0.110833099,-0.993839033,0.218937556
600,238.5,-0.967459686,-0.25302521,0.151112506
240,601.5,0.308103265,0.95135292,0.542630726
240,421.5,-0.976606662,-0.215033551,0.45014511
240,661.5,-0.518634368,0.854996136,0.597069466
300,178.5,0.969722107,0.244211047,0.248803921
180,298.5,0.97713371,0.212625756,0.880529508
60,661.5,0.559950021,0.828526387,0.268290531
480,661.5,0.979221039,-0.202795849,0.665201789
120,481.5,-0.81688925,0.576794551,0.238528064
60,178.5,0.366362463,-0.930472216,0.713093648
480,601.5,0.961739829,0.273964415,0.725269436
540,541.5,-0.931999568,-0.362459385,0.223161604
60,118.5,-0.367932495,0.929852504,0.007602658
180,298.5,-0.100293787,0.994957867,0.661086485
300,481.5,-0.985181556,-0.171514729,0.547262116
300,298.5,-0.777182161,-0.629275685,0.105830017
420,298.5,-0.703342607,-0.710851024,0.651821876
180,661.5,0.726151047,0.687535204,0.817544723
360,481.5,0.993741554,0.111703731,0.156955604
300,178.5,-0.999997339,0.002307095,0.326176591
300,421.5,0.60289196,-0.797822841,0.239702713
120,118.5,0.621343343,0.783538416,0.912448784
300,118.5,0.770128579,0.637888683,0.274482455
480,661.5,-0.945462638,0.325730565,0.741767835
600,481.5,-0.999992816,0.003790467,0.105825776
360,238.5,-0.99837822,0.056929161,0.172990122
180,661.5,0.395368211,-0.918522715,0.525014433
600,421.5,-0.961719959,-0.27403416,0.74522221
420,601.5,0.951861085,0.306529728,0.137581194
240,358.5,0.972007277,0.234950745,0.137885912
180,238.5,0.841556164,0.540169624,0.555721241
540,421.5,0.830358052,0.557230209,0.211165076
420,358.5,0.323051959,-0.94638123,0.170622513
300,661.5,0.157131475,-0.987577693,0.384186999
480,481.5,0.968751149,0.248034697,0.173710447
600,358.5,0.99732289,0.073123553,0.689072268
60,481.5,-0.217595957,-0.976038933,0.446245424
360,238.5,-0.087863416,0.996132531,1
540,661.5,-0.326345247,0.945250644,0.59015873
360,358.5,-0.053921357,0.998545185,0.146339835
120,661.5,0.970303836,0.241889369,0.192289721
540,421.5,-0.962917925,-0.269794497,0.273473429
480,178.5,-0.457233125,-0.889346878,0.339774594
60,298.5,-0.9604845,0.278333478,0.140340799
420,481.5,0.898589878,-0.438789507,0.452016315
600,238.5,0.999992938,0.003758244,0.180774009
60,118.5,-0.776896849,-0.629627894,0.153415746
600,421.5,0.899959007,0.435974524,0.700261527
480,298.5,0.936790327,0.349891245,0.513708002
540,481.5,0.218516419,0.975833272,0.635498817
420,178.5,-0.130626922,0.991431595,0.543486639
240,601.5,-0.315876104,-0.948800446,0.413601458
420,298.5,-0.217712405,0.976012965,0.248204438
540,481.5,0.976021969,0.217672036,0.123072748
360,541.5,0.908345098,-0.418221451,0.184105633
480,661.5,-0.329686623,-0.944090425,0.122167451
420,481.5,-0.987336424,0.15864043,0.388163475
120,601.5,-0.815898186,-0.578195599,0.692785567
600,358.5,-0.04278766,-0.999084189,0.194186907
480,601.5,0.329144115,0.9442797,0.099934892
60,601.5,0.604147778,-0.7968723,0.116356357
60,601.5,-0.768254167,-0.640144933,0.424433965
360,298.5,-0.994528129,0.104469135,0.080757274
540,178.5,0.297385859,-0.954757378,0.592836119
60,541.5,-0.626174336,-0.779683077,0.708290122
540,541.5,0.92540706,0.378974634,0.204168046
300,118.5,0.750510791,-0.660858194,0.645524225
120,421.5,-0.743557752,-0.66867172,0.676053526
480,178.5,0.645588838,-0.763685179,0.6728532
300,238.5,0.103745513,-0.994603875,0.268879938
360,601.5,0.897251926,-0.441518948,0.59843366
180,481.5,0.647659729,0.761929705,0.200325651
480,661.5,0.083265884,0.996527367,0.254718969
480,358.5,-0.644156916,-0.76489337,0.145626774
180,661.5,-0.704243729,0.709958288,0.39007577
180,541.5,0.495163647,-0.868799725,0.03268024
300,421.5,-0.403181151,0.915120189,0.630998824
360,661.5,0.829457299,-0.558570129,0.836600723
240,118.5,-0.998548494,-0.05386006,0.067748814
300,118.5,-0.86992391,-0.493185959,0.204609782
120,541.5,0.669043867,0.743222917,0.123207642
600,178.5,0.53607307,0.844171584,0.444031156
240,481.5,0.991106142,-0.133073722,0.172491112
180,298.5,0.342842351,-0.939392954,0.07529689
480,178.5,0.842349662,0.538931394,0.199242022
300,541.5,-0.99955001,0.029996275,0.172024367
360,298.5,-0.347986786,-0.937499438,0.424079429
600,358.5,0.303855409,0.952718159,0.092815651
60,421.5,0.999586127,0.028767583,0.961163487
240,178.5,-0.865756699,-0.500465122,0.313475881
120,178.5,0.286049835,-0.958214742,0.577256137
180,481.5,-0.683297768,0.730139822,0.56553418
420,118.5,-0.005717376,0.999983656,0.370817675
360,481.5,-0.125429619,-0.99210252,0.409630925
360,358.5,0.997648085,0.068544128,0.661174606
360,421.5,0.630959818,-0.775815512,0.193464392
540,481.5,-0.552786809,-0.833322713,0.17478682
480,298.5,-0.077991417,0.99695403,0.086815343
540,298.5,-0.112789098,0.993618951,0.729373838
240,481.5,0.818107236,0.575065692,0.390334344
420,298.5,0.809258619,-0.587452541,0.177862758
360,421.5,-0.782302685,0.622898474,0.377492297
300,238.5,-0.985129347,-0.171814347,0.579918454
600,298.5,0.377137152,0.926157421,0.546678784
540,358.5,-0.932263231,-0.361780691,0.108259364
360,298.5,0.926763666,-0.375644921,0.156793809
420,661.5,-0.51161233,0.859216401,0.252311289
480,421.5,-0.307139197,0.951664602,0.616684619
120,238.5,0.348560964,0.937286111,0.6037772
60,358.5,0.596031558,0.802961009,0.298190428
540,298.5,-0.891524143,-0.452973181,0.839529488
600,541.5,-0.754848291,0.655899427,0.566122497
420,601.5,0.907419329,-0.420226323,0.720731571
600,178.5,-0.291005944,0.956721245,0.115303063
120,178.5,0.975172647,0.221445951,0.115503944
480,541.5,-0.362618604,0.931937631,0.47372982
240,481.5,-0.38130393,0.924449735,0.126876086
420,238.5,-0.99887481,0.047424821,0.201922465
360,421.5,-0.664503432,-0.747285213,0.528933078
120,421.5,0.607037248,0.794673379,0.492736193
300,358.5,-0.145383667,-0.989375353,0.104116193
180,601.5,0.807401468,0.590002432,0.074187376
360,118.5,-0.207790037,0.978173451,0.196729702
120,601.5,0.638832524,0.76934583,0.615192757
600,298.5,0.220304157,-0.975431227,0.883843325
360,661.5,0.517221072,0.855851834,0.320622095
240,298.5,0.37758108,0.925976527,0.747575601
540,178.5,0.95296852,0.303069299,0.19406479
420,118.5,0.092152928,-0.995744866,0.289224132
120,421.5,0.688799144,-0.724952233,0.214097591
120,541.5,-0.759663478,-0.650316385,0.13520365
480,601.5,0.059751821,-0.998213264,0.064575993
180,421.5,0.351811334,-0.936070929,0.778384314
420,421.5,-0.127011302,0.99190127,0.274126199
120,238.5,0.160896596,-0.986971269,0.550076305
180,118.5,-0.997072647,0.076460027,0.897095385
420,481.5,-0.508815929,-0.86087534,0.158276361
240,358.5,-0.995732414,-0.092287375,0.121403574
540,358.5,0.930840176,0.365426555,0.735207212
60,178.5,-0.812535392,-0.58291186,0.337492158
480,118.5,0.81422689,0.580546786,0.434976717
540,238.5,0.900168752,0.435541293,0.201309555
600,118.5,-0.985617871,-0.168989384,0.437971931
480,481.5,-0.101171339,0.994869017,0.09307475
480,238.5,-0.407221102,0.913329609,0.312278599
300,541.5,-0.344801478,0.938675631,0.443852773
240,238.5,-0.071988434,-0.997405467,0.483876923
480,481.5,-0.726212154,-0.687470659,0.8307634
480,421.5,-0.955852243,0.293847732,0.130526888
300,481.5,0.129337665,0.991600609,0.568259045
600,178.5,-0.657524022,-0.753433581,0.202307934
480,178.5,-0.202224701,0.97933915,0.555694845
180,358.5,-0.746834657,-0.665009771,0.251058188
480,118.5,-0.462768919,0.88647895,0.929729519
120,358.5,0.323472325,-0.946237631,0.603031929
540,178.5,-0.96400641,-0.265878997,0.157557648
60,118.5,0.83562803,0.549295727,0.475505547
120,358.5,0.915407315,0.402528816,0.230849565
540,238.5,-0.278739268,0.960366816,0.954757339
120,601.5,0.764782367,-0.644288702,0.287748353
360,238.5,0.024147198,-0.999708414,0.858193127
300,298.5,0.01896776,0.999820096,0.126351166
240,118.5,0.429297787,-0.903163003,0.189177067
600,118.5,0.950264651,0.311443563,0.748769365
540,358.5,0.060289342,0.998180943,0.181233831
360,541.5,0.818877951,0.573967683,0.613794147
180,178.5,0.458793718,-0.888542809,0.106236128
180,421.5,0.884934916,0.465714714,0.145750934
360,118.5,0.399990357,0.916519347,0.743912037
300,541.5,0.001378984,-0.999999049,0.701810783
120,118.5,-0.977081462,-0.212865726,0.432157532
300,601.5,-0.056072992,0.998426672,0.660321392
540,178.5,-0.089832594,0.995956879,0.556938265
360,178.5,-0.150790319,0.988565769,0.205758174
60,541.5,0.968834032,0.247710756,0.651468066
480,298.5,0.209267114,-0.977858515,0.139592583
60,661.5,0.993982352,-0.109540332,0.907922406
600,421.5,-0.02751324,0.999621439,0.272552954
180,481.5,0.447112311,-0.894477826,0.522631821
540,118.5,0.124488833,0.992221009,0.52572927
480,118.5,0.739544842,-0.673107292,0.026419134
480,541.5,0.60403487,-0.796957888,0.623732557
540,118.5,0.88008209,0.474821561,0.203876399
300,661.5,0.988111768,-0.153737227,0.263645812
600,358.5,-0.999411341,-0.034307031,0.644178883
300,541.5,0.809079605,0.587699067,0.215788434
300,601.5,-0.301587017,-0.953438656,0.692929842
600,601.5,0.258461462,-0.96602157,0.702322635
300,481.5,0.987052837,0.160395442,0.07247166
60,541.5,0.483466935,-0.875362624,0.211349315
600,118.5,0.378060794,0.925780771,0.216798175
360,118.5,-0.870482479,-0.492199404,0.054729246
540,601.5,-0.145164574,0.989407523,0.183329503
360,358.5,0.040657391,-0.999173146,0.246354616
300,118.5,-0.170576942,0.98534436,0.020856554
540,118.5,-0.746183801,-0.66573999,0.119002389
60,178.5,0.965685344,0.259714874,0.201960501
420,178.5,-0.993270278,0.11581949,0.163846929
180,601.5,0.511509584,-0.859277572,0.257757066
540,421.5,-0.303077135,0.952966028,0.65240273
