rssi,variance,beacon_x,beacon_y,device_x,device_y,beacon_roll,beacon_pitch,beacon_yaw,device_roll,device_pitch,device_yaw
-79.44444444,3.625396825,725,358.5,60,118.5,89.13481281,60.41736562,20.26998821,2.032295316,27.12340443,-6.633703983
-75.29411765,7.668449198,0,358.5,60,118.5,89.63943767,-25.0168614,-95.79736684,2.032295316,27.12340443,-6.633703983
-81.6097561,4.193902439,725,421.5,60,118.5,-88.90902026,27.57976167,-162.7960448,2.032295316,27.12340443,-6.633703983
-73.57142857,4.885017422,480,0,60,118.5,-88.80278625,-19.76638299,-8.425050755,2.032295316,27.12340443,-6.633703983
-70.47368421,0.789473684,0,358.5,60,118.5,89.63943767,-25.0168614,-95.79736684,-0.607941949,6.430342686,-93.27522045
-68.97777778,14.74949495,725,358.5,60,118.5,89.13481281,60.41736562,20.26998821,-0.607941949,6.430342686,-93.27522045
-72.5,15.16666667,480,0,60,118.5,-88.80278625,-19.76638299,-8.425050755,-0.607941949,6.430342686,-93.27522045
-76.05714286,2.52605042,725,421.5,60,118.5,-88.90902026,27.57976167,-162.7960448,-0.607941949,6.430342686,-93.27522045
-70.06976744,1.018826135,725,421.5,60,118.5,-88.90902026,27.57976167,-162.7960448,-1.567130181,52.81228903,174.4859847
-68.36842105,0.915413534,480,0,60,118.5,-88.80278625,-19.76638299,-8.425050755,-1.567130181,52.81228903,174.4859847
-75.45238095,4.253774681,0,358.5,60,118.5,89.63943767,-25.0168614,-95.79736684,-1.567130181,52.81228903,174.4859847
-76.4,1.063636364,725,358.5,60,118.5,89.13481281,60.41736562,20.26998821,-0.649847182,50.08327106,88.68567216
-75.56756757,16.14114114,480,0,60,118.5,-88.80278625,-19.76638299,-8.425050755,-0.649847182,50.08327106,88.68567216
-73.21818182,3.877441077,0,358.5,60,118.5,89.63943767,-25.0168614,-95.79736684,-0.649847182,50.08327106,88.68567216
-75.65,4.797435897,725,421.5,60,118.5,-88.90902026,27.57976167,-162.7960448,-0.649847182,50.08327106,88.68567216
-77.35294118,1.386809269,725,421.5,120,118.5,-88.90902026,27.57976167,-162.7960448,2.44977097,5.443221922,-14.19619619
-71.37209302,0.239202658,0,358.5,120,118.5,89.63943767,-25.0168614,-95.79736684,2.44977097,5.443221922,-14.19619619
-73.25,5.870967742,725,358.5,120,118.5,89.13481281,60.41736562,20.26998821,2.44977097,5.443221922,-14.19619619
-74.19230769,6.119155354,480,0,120,118.5,-88.80278625,-19.76638299,-8.425050755,2.44977097,5.443221922,-14.19619619
-69.10638298,1.053654024,0,358.5,120,118.5,89.63943767,-25.0168614,-95.79736684,0.873624707,40.73568417,-102.93766
-72.50943396,3.52394775,480,0,120,118.5,-88.80278625,-19.76638299,-8.425050755,0.873624707,40.73568417,-102.93766
-75.59459459,0.247747748,725,421.5,120,118.5,-88.90902026,27.57976167,-162.7960448,0.873624707,40.73568417,-102.93766
